Gene symbol	Mutant.309.R1.drna.DVBt.DVB.S7.R1.001	Mutant.309.R2.drna.DVBt.DVB.S8.R1.001	Mutant.309.R3.drna.DVBt.DVB.S9.R1.001	WT.39.R1.drna.DVBt.DVB.S13.R1.001	WT.39.R2.drna.DVBt.DVB.S14.R1.001	WT.39.R3.drna.DVBt.DVB.S15.R1.001
RPF2P2	0	0	0	0	0	0
PGAM4P2	0	0	0	0	0	0
KRT18P21	0	0	0	0	0	0
AC027613.1	0	1	0	0	1	0
EIF3KP3	0	1	1	1	2	0
TTC39CP1	0	0	0	0	1	0
MTRNR2L13	0	0	0	2	2	2
MIR1973	0	0	0	0	0	0
TRMT112P1	0	0	0	0	0	0
CUL4AP1	0	0	0	0	0	0
AC106892.1	0	0	0	3	1	0
ACTN4P1	32	32	29	24	20	23
RNU6-119P	0	0	0	0	0	0
AC093765.1	0	0	0	0	2	0
TRAM1L1	381	400	395	631	760	509
AC107399.1	0	0	0	0	0	0
LINC02262	0	0	0	0	0	0
LINC02263	0	0	0	0	0	0
LINC01378	0	0	3	13	13	5
RPSAP35	0	0	0	0	0	0
NT5C3AP1	54	58	81	90	105	90
LINC02264	0	0	0	0	0	0
NDST3	100	154	299	582	675	351
FKBP4P1	6	5	11	14	12	20
SNHG8	498	685	648	289	346	329
SNORA24	0	0	0	0	0	0
PRSS12	82	80	114	1629	2676	1566
NDUFS5P5	1	0	1	0	0	2
AC092670.1	18	19	19	9	7	6
CEP170P1	1551	1599	2477	3730	4594	5743
AC110079.1	365	282	309	199	217	203
RNU6-1054P	0	1	0	0	0	1
CICP16	26	26	29	9	14	13
SEPT14P4	6	7	8	9	10	6
METTL14-DT	19	11	23	25	17	14
METTL14	1315	1279	1341	1151	1308	1141
SEC24D	2054	2313	2713	1370	1321	741
SYNPO2	48	59	111	1999	1107	1078
AC096745.1	0	0	0	0	0	0
AC096745.2	0	0	0	6	5	2
MYOZ2	1	1	2	9	7	10
AC092656.1	2	1	5	5	2	0
USP53	658	737	835	574	568	469
C4orf3	4948	5051	5282	3883	4486	4005
FABP2	1	0	0	0	0	1
KLHL2P1	18	13	19	22	26	27
RNU4-33P	0	0	0	0	0	0
AC110373.1	34	24	28	48	79	75
GTF2IP12	77	85	83	48	58	64
AC093752.3	0	0	0	0	0	0
RNU6-1217P	0	0	0	0	1	1
AC093752.1	499	443	425	586	530	439
AC093752.2	3	3	8	1	3	1
PDE5A	217	212	215	279	255	219
RF00614	0	1	0	0	0	2
LINC01365	0	0	0	0	0	0
AC097173.1	0	0	0	0	0	0
LINC02502	0	0	0	0	0	0
AC097173.2	0	0	0	0	0	1
MAD2L1	145	272	267	137	166	176
AC108866.1	3	8	5	1	5	2
LTV1P1	0	0	0	0	0	0
SAR1AP3	16	23	10	7	7	18
AC025741.1	0	0	0	0	0	0
PRDM5	434	594	449	179	149	121
RNU6-550P	0	0	0	0	0	0
SETP12	6	3	3	0	0	0
NDNF	621	838	470	397	116	46
RN7SKP137	0	0	0	0	0	0
AC105254.1	0	0	0	0	0	0
AC105254.2	0	0	0	0	0	0
TNIP3	1	5	3	24	25	27
RNU6-948P	0	0	0	0	0	0
QRFPR	0	0	0	10	1	6
AC093816.1	1	4	7	5	6	3
TUBB4BP5	0	0	0	0	0	0
ANXA5	6063	6164	5888	2772	2818	1782
TMEM155	1	2	1	6	2	1
PP12613	0	0	0	0	1	0
EXOSC9	637	625	747	655	609	568
CCNA2	185	339	302	155	157	65
BBS7	903	1047	1134	1659	1859	2119
AC079341.1	0	0	0	0	0	2
TRPC3	23	41	57	128	128	123
AC097533.1	20	36	23	20	25	35
RN7SL335P	0	0	0	0	0	0
KIAA1109	6358	6388	7851	7952	8649	8895
ADAD1	0	0	0	0	0	0
IL2	0	0	0	0	0	0
IL21	0	0	0	0	0	0
IL21-AS1	0	0	1	1	0	0
CETN4P	115	131	117	80	62	71
BBS12	555	502	517	334	433	413
AC021205.2	0	0	0	0	0	0
FGF2	417	503	609	837	916	890
AC021205.1	0	0	0	0	0	0
AC021205.3	22	17	16	25	24	10
NUDT6	138	122	114	92	48	53
SPATA5	338	388	343	228	291	195
AC026402.1	0	0	0	0	0	0
SPRY1	278	262	267	99	83	51
AC093821.1	2	0	0	0	0	0
LINC02435	0	0	0	0	0	0
LINC01091	40	47	50	16	5	4
AC096732.1	0	0	0	0	0	0
RPL21P50	0	0	0	0	0	0
AC093767.1	0	0	0	0	0	0
PPIAP76	0	0	0	0	0	0
AC121154.1	0	0	0	0	0	0
AC097474.1	0	0	1	1	0	0
TECRP2	2	2	0	3	2	2
LINC02516	1	0	1	1	3	0
ANKRD50	2027	2116	2485	3007	5001	4186
FAT4	670	509	347	448	416	262
MIR2054	0	0	0	0	0	0
AC105919.1	0	0	0	0	0	0
NUP58P1	0	0	0	0	0	0
TMEM248P1	0	0	0	0	0	0
LINC02379	0	0	0	0	0	0
AC105758.1	0	0	0	0	0	0
RBM48P1	0	2	0	0	0	1
AC096773.1	6	3	3	4	0	0
AC093772.1	17	4	10	8	3	0
AC097462.1	0	0	0	0	0	0
AC097462.2	0	0	0	0	0	0
INTU	2168	2025	2140	1023	936	595
SLC25A31	3	0	1	1	1	3
HSPA4L	1288	1267	1839	2726	2729	3545
AC093591.3	3	11	14	19	11	15
AC093591.1	103	115	99	71	75	69
AC093591.2	5	4	5	23	15	11
PLK4	103	221	179	97	123	109
RNU6-583P	1	1	0	0	0	0
MFSD8	1143	1171	1003	825	795	566
ABHD18	494	445	480	460	408	349
LARP1B	729	764	830	913	1024	1028
AC099340.1	0	1	3	2	1	1
FOSL1P1	0	0	0	0	0	0
PGRMC2	2881	2940	2870	2137	2075	1923
LINC02615	123	80	69	37	18	9
AC110609.1	1	1	3	0	1	0
AC078850.1	4	1	2	0	0	0
AC078850.2	2	3	1	2	0	0
JADRR	0	0	0	0	0	0
JADE1	3306	3484	3189	907	784	719
SCLT1	228	293	322	481	515	413
AC093783.1	0	0	2	0	0	0
AC093826.2	0	0	0	0	0	0
C4orf33	349	436	462	943	806	683
AC093826.1	1	0	0	0	1	1
ZSWIM5P3	0	0	0	0	0	0
AC105417.1	0	0	0	0	0	0
AC082650.1	0	0	0	0	0	0
LINC02466	0	3	5	0	0	0
LINC02465	0	1	1	0	0	1
EEF1GP8	8	4	7	5	3	7
LINC02479	0	0	0	0	0	0
PGBD4P4	0	0	0	0	0	0
GAPDHP56	0	0	0	0	0	0
AC093831.2	0	0	0	0	0	0
AC093831.1	0	0	0	0	0	0
AC025554.1	0	0	0	0	0	0
RNU6-224P	0	0	0	0	0	0
LINC02377	0	0	0	0	0	0
AC105424.1	0	0	0	0	0	0
RN7SL205P	0	0	1	1	0	0
AC107393.1	0	0	0	0	0	0
SNHG27	0	0	0	0	0	0
RPL7AP28	0	0	0	0	0	0
AC096711.2	0	0	0	0	0	0
AC096711.3	0	0	0	0	0	0
AC096711.1	0	0	0	0	0	0
ELL2P2	0	0	0	0	0	0
AC114741.1	0	0	0	0	0	0
LINC01256	0	0	0	0	0	3
AARSP1	0	0	0	0	0	0
AC115622.1	0	0	0	2	0	1
AC110751.1	0	0	0	0	0	0
AC105383.1	40	38	66	236	233	171
R3HDM2P1	0	2	3	1	4	2
PCDH10	657	827	1383	3283	5564	3259
AC105252.1	0	0	0	0	0	0
AC079380.1	0	0	1	0	0	0
PABPC4L	29	30	37	13	5	1
AC109830.1	0	0	0	0	0	0
PES1P1	0	2	0	0	1	0
LINC02462	0	0	0	0	0	0
AC093722.1	0	0	0	0	0	0
AC104619.2	0	0	0	0	0	0
AC104619.4	0	0	0	0	0	0
AC104619.1	12	13	5	10	4	7
AC104619.3	2583	3213	2281	1238	1278	1354
AC107463.1	0	0	0	0	0	0
LINC02485	0	0	0	3	1	1
KRT18P54	0	0	0	0	0	0
TARS2P1	0	0	0	0	0	0
AC105362.1	0	0	0	0	0	0
LINC00613	0	1	0	0	0	0
RNU1-89P	0	0	0	0	0	0
AC104136.1	0	0	0	0	0	0
AC073429.2	0	0	0	0	0	1
AC018680.1	0	0	0	0	0	0
AC073429.1	0	0	0	0	0	0
TERF1P3	4	1	5	1	2	1
AC093875.1	0	0	0	0	0	0
LINC02511	1	1	2	3	2	3
LINC02510	0	0	0	0	0	1
SERF1AP1	0	1	0	0	0	0
STMN1P2	0	0	4	9	3	9
RPS23P2	3	7	5	7	2	4
PCDH18	2745	3203	2748	797	448	277
LINC02172	1	1	1	5	0	0
AC116563.2	0	0	0	0	0	0
AC116563.1	0	0	0	0	0	0
AC131956.2	0	0	0	1	0	0
AC131956.1	0	0	0	0	0	0
LINC00616	2	1	6	9	8	2
SLC7A11-AS1	21	23	12	7	4	0
SLC7A11	2324	2431	1311	452	285	135
AC093903.1	2	0	2	0	0	0
LINC00498	0	0	0	0	1	0
LINC00499	0	0	0	0	0	0
LINC00500	0	0	0	0	0	0
AC105416.1	2	1	1	1	3	0
AC098859.1	45	55	50	28	38	58
AC098859.2	0	1	1	0	0	0
AC093766.1	1	1	0	0	0	0
AC109927.1	3	4	1	2	0	0
AC109927.2	0	0	0	0	0	0
NOCT	140	137	201	234	359	414
ELF2	1788	2042	2070	1645	1710	1233
RNU6-531P	4	1	3	0	2	2
RN7SL382P	0	0	0	0	0	0
PPP1R14BP3	650	716	899	707	1070	1119
RN7SL311P	0	0	0	0	0	0
RNU6-506P	0	0	0	0	0	0
RNU6-1074P	0	0	0	0	0	0
MGARP	25	10	18	12	24	10
NDUFC1	981	1290	1231	975	1027	922
NAA15	2023	2080	2261	1782	2045	2182
RNU6-1214P	0	0	0	0	0	0
AC097376.2	259	254	307	292	298	229
AC097376.1	3	3	3	0	0	2
RAB33B	882	915	976	1014	1012	929
SETD7	2404	2058	2291	1697	1987	1475
FTH1P24	0	1	0	0	0	0
AC112236.2	5	1	16	14	13	23
AC112236.1	2	0	4	5	6	9
MGST2	519	590	525	217	196	109
RN7SKP237	0	0	1	0	0	0
H3F3AP6	48	75	78	38	52	34
MAML3	2391	2130	2437	1538	1447	1822
RN7SKP253	0	0	0	0	0	0
AC131182.1	0	3	2	1	1	0
SCOC	7299	9068	8595	7873	9082	10579
SCOC-AS1	46	57	42	93	54	35
NDUFB4P9	0	0	0	0	0	0
RPL14P3	185	237	176	135	215	205
CLGN	1347	1514	1506	1599	1552	1621
MGAT4D	1	0	0	3	0	0
AC093671.1	0	0	0	3	0	0
ELMOD2	3506	3756	3706	2332	2540	2105
UCP1	1	2	4	0	4	1
RN7SL152P	0	0	0	2	0	1
AC108019.1	0	0	0	0	0	0
TBC1D9	7871	6648	7557	5915	7027	6847
TNRC18P1	12	13	12	12	7	13
RNY1P14	1	0	0	0	0	0
AC096733.1	0	0	0	0	0	0
AC096733.2	120	119	94	60	77	119
RNF150	2276	2230	2484	3094	3334	2835
ZNF330	860	871	866	992	1104	1002
AC107220.1	1	0	0	0	0	0
LINC02432	2	0	0	15	9	13
AC097504.1	0	0	0	0	0	0
AC097504.2	0	0	0	0	0	0
LINC02276	0	0	0	0	0	0
IL15	4	1	2	26	22	71
INPP4B	118	130	123	213	250	435
RPL5P13	0	0	0	0	0	0
LSM3P4	0	0	0	0	0	0
AC139720.2	0	0	0	0	0	0
AC139720.1	0	0	0	0	0	0
AC104596.1	7	14	14	9	3	9
AC104596.2	0	0	0	0	0	0
USP38	1800	1870	1997	1042	1335	1082
AC097658.2	0	0	0	0	0	0
GAB1	899	813	790	766	768	381
MIR3139	0	0	0	0	0	0
AC097658.1	10	14	16	11	14	13
RPSAP36	2	0	1	0	1	0
AC104685.1	0	0	0	0	0	1
SMARCA5	9579	9157	9865	5681	5767	5091
SMARCA5-AS1	0	2	1	0	3	3
AC139713.1	0	0	0	0	0	0
AC139713.2	3	4	10	81	17	5
GUSBP5	3	4	4	30	35	16
FREM3	12	10	21	98	27	5
AC104090.1	0	0	0	1	1	0
GYPE	0	0	2	2	4	1
AC093890.1	21	21	31	10	17	9
GYPB	1	0	1	0	0	0
GYPA	1	0	0	3	3	0
AC098588.2	0	0	0	0	0	0
AC098588.1	2	1	5	0	1	3
AC106871.1	0	0	0	0	0	0
KRT18P51	0	1	0	0	0	1
HHIP-AS1	73	76	90	121	48	29
HHIP	144	184	134	720	171	45
ANAPC10	319	318	300	267	275	263
HSPD1P5	54	72	56	44	57	85
AC109811.1	2	0	0	0	0	0
AC109811.2	0	0	0	0	0	0
RN7SKP235	2	0	0	0	0	0
ABCE1	1310	1389	1648	1871	2383	2391
OTUD4	1693	1624	1634	1396	1601	1176
RPS23P4	0	0	0	0	0	0
LINC02266	0	0	0	0	0	0
RTN3P1	718	834	983	1864	2114	2610
AC079228.1	173	198	230	682	631	706
NMNAT1P4	0	0	1	1	0	0
SMAD1	781	791	744	994	1044	799
SMAD1-AS2	0	0	0	0	0	0
SMAD1-AS1	1	0	0	0	0	0
MMAA	436	411	480	543	516	474
NCOA4P3	29	22	15	10	30	25
AC093864.1	0	2	1	2	0	0
C4orf51	0	3	1	0	0	0
ZNF827	2376	2126	2195	1302	1365	1193
AC104791.2	4	2	1	3	0	0
AC104791.1	0	0	1	0	2	0
AC108206.1	0	0	0	0	0	0
AC097372.2	0	0	0	0	0	0
LINC01095	3	3	4	0	1	0
LSM6	239	302	298	400	406	389
AC097372.3	7	9	14	16	14	19
REELD1	1	1	2	6	3	1
AC097372.4	0	0	0	0	0	0
AC097372.1	0	0	0	0	0	0
SLC10A7	276	325	284	280	288	223
MIR7849	0	0	0	0	0	0
RNU1-44P	0	0	0	0	0	0
POU4F2	0	3	4	79	42	34
TTC29	10	7	12	55	57	131
AC092435.2	0	0	0	0	0	0
AC092435.1	0	1	0	0	0	2
AC092435.3	0	0	0	0	0	0
AC092435.4	1	1	0	0	0	0
MIR548G	0	0	0	0	0	0
AC010683.1	1	2	0	2	0	0
PRMT5P1	1	2	1	0	0	0
EDNRA	59	35	82	306	685	229
AC093908.1	12	1	13	28	82	40
GTF2F2P1	20	18	16	14	21	31
LINC02507	0	0	1	0	0	0
AC093835.1	2	1	2	1	0	0
TMEM184C	2485	2305	2614	1934	2282	2121
PRMT9	518	595	582	519	517	578
ARHGAP10	15	12	18	3	2	2
RNA5SP165	0	0	0	0	0	0
MIR4799	0	0	0	0	0	0
RN7SL254P	0	0	0	0	0	0
AC115621.1	0	0	0	0	0	0
NR3C2	14	21	11	29	7	6
AC069272.1	0	0	0	0	0	0
ASS1P8	0	0	0	0	0	0
RNA5SP166	0	0	0	0	0	0
AC108935.1	0	0	0	0	0	0
ATP5MGP4	10	13	10	15	10	12
AC093648.1	0	0	0	0	0	0
AC002460.1	0	0	0	0	0	0
RNU7-197P	0	0	0	0	0	0
AC108156.1	0	0	0	0	0	1
LINC02430	0	0	0	0	0	0
LINC02355	0	0	0	1	0	0
IQCM	2	5	1	4	1	3
AC093893.1	0	0	0	0	0	0
AKIRIN2P1	1	1	1	0	0	2
RNA5SP167	0	0	0	0	0	0
RNU6-1230P	0	0	0	0	0	0
AC105343.1	0	0	0	0	0	0
DCLK2	878	1115	1494	2344	2832	3103
RNU7-194P	0	0	0	0	0	0
LRBA	3065	3038	3140	1228	1491	1017
AC092612.1	4	4	8	1	4	2
AC110813.1	0	0	2	20	25	37
MAB21L2	49	51	59	1640	2930	2354
ZBTB8OSP1	7	3	7	4	6	7
RNA5SP168	0	0	0	0	0	0
AK4P6	0	1	0	2	2	1
RPS3A	4090	4920	4864	2821	3254	2872
SNORD73B	2	0	1	0	1	0
SH3D19	1706	1665	1486	878	841	759
SNORD73A	0	0	0	0	0	0
AC095055.1	30	42	21	45	34	30
AC104819.1	0	0	0	0	0	0
PRSS48	0	0	1	0	0	0
AC104819.2	0	0	0	0	0	0
RNU6-1282P	0	0	0	0	0	0
AC104819.3	4	1	7	1	0	0
FAM160A1-DT	3	6	6	0	0	0
FAM160A1	242	206	188	5	11	4
RN7SKP35	0	0	0	0	0	0
AC092611.2	22	20	17	6	0	0
AC092611.3	62	53	49	11	3	5
GATB	476	578	700	574	747	732
AC092611.1	30	33	20	5	2	3
AC107074.1	0	0	0	0	0	0
AC112242.1	0	0	0	0	0	0
AC097375.2	0	0	0	0	0	0
AC097375.1	0	0	0	0	0	0
AC097375.3	0	0	0	0	0	0
RNA5SP169	0	0	0	0	0	0
LINC02273	0	0	0	0	0	0
AC079340.1	0	0	0	0	0	0
AC079340.2	0	1	0	1	0	1
RN7SL446P	0	0	1	0	0	0
AC080078.1	0	0	0	1	0	1
AC080078.2	2	0	2	2	2	0
FBXW7	1379	1552	1510	1791	1687	1605
FBXW7-AS1	3	3	1	0	0	1
MIR3140	0	0	1	0	0	0
MIR4453HG	435	496	634	769	1095	803
MIR4453	0	0	0	0	0	0
AC023424.2	3	2	2	3	1	0
AC023424.1	0	1	2	0	0	1
TMEM154	15	17	8	3	4	8
AC106882.1	0	0	0	0	0	0
TIGD4	148	177	154	73	60	45
ARFIP1	1149	1237	1128	464	438	333
AC113155.1	2	1	3	3	2	3
FAM192BP	299	364	407	374	434	485
FHDC1	72	118	229	610	774	404
AC093599.1	0	0	0	0	0	0
TRIM2	11358	11792	13817	19414	28151	26819
RNU6-1196P	0	0	0	0	0	0
ANXA2P1	190	188	154	103	138	49
MND1	9	54	44	25	48	44
RN7SL419P	0	0	0	0	0	0
TMEM131L	264	286	385	435	446	411
AC106865.1	0	0	0	1	1	0
WDR45P1	53	61	64	50	75	70
TLR2	9	8	8	19	8	2
RNF175	267	334	460	1302	1516	1474
AC020703.1	0	2	2	9	10	3
SFRP2	168	168	270	626	279	442
AC079298.3	4	0	4	10	3	7
DCHS2	6585	5289	4760	2571	1525	743
AC079298.1	0	0	0	0	1	1
AC079298.2	0	0	1	0	1	0
AC110775.1	1	0	0	0	0	0
AC110753.1	0	2	0	0	0	0
PLRG1	2733	2768	2837	1810	2043	1756
RNU6-1285P	0	0	0	0	0	0
AC107385.1	0	0	0	1	0	2
FGB	3	5	5	0	1	0
FGA	0	0	0	0	1	0
FGG	1	0	0	0	0	0
LRAT	136	131	115	170	78	46
NDUFB2P1	0	0	0	0	0	0
AC009567.1	0	0	0	0	0	0
AC009567.2	0	0	0	0	0	0
RBM46	4	4	6	3	5	4
RNU2-66P	0	0	0	0	0	0
RNU2-44P	0	0	0	0	0	0
AC097467.3	15	14	11	7	9	1
AC104407.1	25	17	20	27	128	20
NPY2R	58	37	30	259	1624	411
AC097467.1	0	0	0	0	0	0
MAP9	4414	4561	4429	3281	4051	4233
YWHAEP4	0	0	0	2	1	0
AC097467.2	0	0	0	0	0	0
AC097467.4	0	0	0	0	0	0
MTCYBP17	0	0	0	0	0	0
MTND6P17	0	0	0	0	0	0
MTND5P9	1	0	0	0	1	0
MTND4P8	0	0	0	0	0	0
MTND3P3	0	0	0	0	0	0
MTCO3P9	0	0	0	0	0	0
MTATP6P9	0	0	0	0	0	0
MTCO2P9	0	0	0	0	0	0
MTCO1P9	0	0	0	0	0	0
MTND2P33	0	0	0	0	1	0
MTND1P22	0	0	0	0	0	0
AC107208.1	0	0	0	0	0	0
GUCY1A1	133	236	388	917	982	1016
AC104083.1	35	68	112	338	456	257
GUCY1B1	509	572	1003	2067	1803	2284
ASIC5	1	0	2	0	0	1
TDO2	2	0	1	3	3	2
CTSO	2415	3035	2917	303	138	53
FTH1P21	2	0	1	2	1	1
AC096736.3	0	0	0	0	1	1
LINC02272	0	0	0	0	0	0
AC096736.2	0	0	0	0	0	0
AC096736.1	0	0	0	0	0	0
PDGFC	3647	3699	2716	848	582	209
AC092608.1	0	1	0	0	0	0
AC092608.3	1	0	0	0	0	0
AC092608.2	0	0	0	0	0	0
AC093325.1	0	0	1	0	0	0
RPPH1-3P	0	0	0	0	0	0
GLRB	601	621	714	889	989	907
RNU6-582P	0	0	0	0	0	0
GRIA2	802	1245	1817	6120	10002	4889
AC112240.1	0	0	0	0	0	0
LINC02433	0	0	0	2	0	0
AC093817.1	0	0	0	0	0	0
AC017037.1	0	0	0	0	0	0
AC017037.3	0	0	0	0	0	0
AC017037.4	0	0	0	0	0	1
AC017037.2	0	0	0	0	0	2
AC098679.3	1	0	1	0	0	0
AC098679.4	5	7	4	0	0	0
FAM198B	14190	14243	12643	1739	1126	104
FAM198B-AS1	259	248	237	17	7	0
NUDT19P5	1	6	3	0	0	0
AC098679.1	0	0	0	0	0	0
TMEM144	529	479	451	90	67	25
AC098679.2	105	122	110	106	106	119
RXFP1	0	0	0	0	1	0
RNU4-79P	0	0	0	0	0	0
AC121161.1	0	0	0	0	0	0
AC121161.2	0	0	0	0	0	0
C4orf46	314	361	376	411	494	333
ETFDH	493	497	545	675	636	503
PPID	1737	1696	1920	1704	1931	2053
FNIP2	979	1155	1816	2703	3559	3911
RNU6-128P	0	0	0	0	0	0
C4orf45	6	6	10	1	1	0
AC093700.1	74	93	114	135	143	78
FABP5P12	0	1	0	0	0	2
RAPGEF2	2711	2479	2754	2566	2492	2893
MIR3688-1	0	0	0	0	0	0
MIR3688-2	0	0	0	0	0	0
AC074344.1	0	0	0	0	0	0
AC074344.2	0	0	0	0	0	0
LINC02233	0	0	0	0	0	0
AC093853.1	0	0	0	0	0	0
LINC02477	0	0	0	1	0	0
RPS14P7	0	0	0	0	0	0
AC104793.1	0	0	0	5	0	1
FSTL5	53	81	155	1255	608	687
AC023136.1	0	0	0	0	2	0
MTHFD2P4	0	0	0	0	0	1
TOMM22P4	0	0	0	0	0	0
AC005150.1	0	0	0	0	1	0
AC084752.1	0	0	0	0	0	0
MIR4454	0	0	0	0	0	0
AC022272.1	6	7	4	7	1	5
NAF1	507	439	504	250	248	195
AC079238.1	0	1	0	0	1	0
NPY1R	83	77	93	184	134	44
NPY5R	8	3	7	27	15	2
RPL35AP12	0	0	0	0	0	0
TKTL2	4	4	4	4	9	4
TMA16	450	465	427	210	199	231
MARCH1	4235	4237	4216	1594	1835	1770
AC093788.1	46	29	20	27	17	4
RN7SKP105	0	1	1	0	0	0
AC112247.1	316	330	451	487	660	624
AC105250.1	2418	2280	2104	1094	916	884
ANP32C	121	146	147	84	75	62
AC074198.2	0	0	0	0	0	0
RNU6-284P	0	0	0	0	0	0
AC074198.1	0	0	0	0	0	0
SMIM31	182	208	173	25	21	0
RNU6-668P	0	0	0	0	0	0
APELA	30	32	19	9	2	4
TRIM60P14	18	15	10	18	12	10
AC106872.3	0	0	0	0	0	0
AC106872.13	0	0	0	0	0	0
FAM218BP	0	0	0	0	0	0
AC106872.11	0	0	0	0	0	1
AC106872.6	0	0	0	0	0	0
NACA3P	290	327	313	265	275	258
AC106872.1	2	0	1	2	0	0
TRIM61	11	6	2	2	4	4
FAM218A	276	347	303	558	694	570
AC106872.5	39	31	12	20	28	14
AC106872.4	0	1	0	0	0	0
AC106872.10	0	0	0	0	0	0
AC106872.9	1	0	0	0	0	0
AC106872.2	4	1	3	0	1	4
TRIM60	0	0	0	0	0	0
AC106872.12	0	0	0	0	0	0
AC106872.8	0	0	0	0	0	0
AC106872.7	555	628	548	423	397	352
TRIM75P	1	0	1	1	0	0
TMEM192	765	862	906	884	1041	1198
KLHL2	928	986	1313	1519	1934	1843
RNU4-87P	0	0	0	0	0	1
GK3P	26	28	15	46	42	65
MSMO1	4231	4665	5438	5444	6139	6788
CPE	18666	18711	25071	17512	19454	22265
MIR578	0	0	0	4	3	3
HADHAP1	43	55	46	28	55	41
SCGB1D5P	0	0	0	0	0	1
NOL8P1	12	18	17	19	16	10
AC080079.1	0	0	0	0	0	0
LINC01179	0	1	0	3	0	0
TLL1	1	2	1	18	48	63
RNA5SP170	0	0	0	0	0	0
AC097487.1	0	0	0	4	16	12
SPOCK3	362	289	487	2041	3159	2257
RNA5SP171	0	0	0	0	0	0
AC079349.1	0	0	0	0	0	0
RN7SL776P	0	0	0	0	0	0
PHBP14	0	0	0	0	0	0
RN7SKP188	0	0	0	0	0	0
AC105148.1	0	0	0	0	0	0
AC116634.1	0	0	0	0	0	0
ANXA10	0	0	0	0	4	3
DDX60	31	27	36	15	15	3
DDX60L	97	79	114	24	40	36
PALLD	4568	4329	4535	3124	3418	3546
BTF3L4P4	0	0	0	0	0	0
AC079858.1	0	0	0	0	0	0
RNU6-1336P	0	0	0	0	0	0
RPL9P16	2	0	0	2	0	1
AC080188.1	0	1	1	3	3	0
AC080188.2	2	5	3	6	1	3
CBR4	2050	2205	1788	1356	1083	753
RNU6-853P	0	1	0	1	1	0
RNY4P17	0	2	3	0	0	1
AC021151.1	0	0	0	0	0	0
SH3RF1	3615	3208	3732	1935	1449	1624
RPL6P12	2	1	0	0	0	0
AC096741.1	0	0	0	0	0	0
NEK1	1478	1611	1531	1659	1755	1577
CLCN3	8112	8454	8872	7815	8640	9068
HPF1	522	659	688	995	1145	1016
PTGES3P3	356	378	346	368	393	498
AC079768.1	24	38	47	15	19	11
LINC02275	0	0	1	0	0	0
AC084866.2	0	0	0	0	0	0
AC084866.1	0	3	1	0	0	2
MFAP3L	989	953	1094	1418	1442	1015
AADAT	789	873	948	1006	1084	1002
APOBEC3AP1	0	0	0	0	0	1
AC069306.1	0	0	0	0	0	0
LINC01612	0	0	0	0	1	0
LINC02512	0	0	0	0	0	0
AC074255.1	0	0	0	0	0	0
HSP90AA6P	156	97	178	185	190	170
LINC02382	0	0	0	1	0	0
AC097486.1	0	0	0	0	1	0
RNU6ATAC13P	0	0	0	0	0	0
LINC02431	0	0	0	0	0	0
AC034159.1	0	0	0	0	0	0
AC092639.1	0	0	0	0	0	0
MIR6082	0	0	0	0	0	0
LINC02504	0	0	1	0	0	0
AC074254.1	0	0	0	0	0	0
LINC02174	0	0	0	0	0	0
GALNTL6	863	879	736	384	292	293
AC108064.1	0	0	0	1	0	0
AC105285.1	66	53	65	20	13	8
RN7SL253P	0	1	1	0	0	0
GALNT7	3031	3173	2942	898	865	466
MIR548T	0	0	0	0	0	0
AC097534.1	3	3	2	3	7	2
HMGB2	423	785	678	316	278	153
AC097534.2	80	79	86	104	96	58
SAP30	196	262	222	137	138	121
SCRG1	117	63	73	426	628	410
RPL5P11	23	35	28	21	24	8
RNU6-1096P	0	0	0	0	0	0
AC093849.1	2	1	6	3	4	1
HAND2	0	0	0	599	114	62
HAND2-AS1	0	0	0	402	60	28
MORF4	339	447	374	308	349	452
RANP6	51	73	67	43	61	71
AC106895.1	0	0	0	0	0	0
LINC02269	0	0	0	0	0	0
AC106895.2	0	0	0	4	0	0
LINC02268	0	1	2	40	9	10
AC012055.1	0	0	0	1	0	0
AC012055.2	0	0	0	0	0	0
FBXO8	636	619	677	422	538	449
CEP44	492	477	500	458	448	333
AC116616.1	0	0	0	1	0	0
MIR4276	0	0	0	0	0	0
HPGD	14	51	55	39	41	79
AC096751.1	0	0	1	0	0	0
AC096751.2	0	0	0	0	0	0
GLRA3	109	60	106	358	113	71
ADAM29	1	5	3	31	19	12
AC105914.1	0	0	0	0	0	0
AC105914.2	0	0	0	0	0	0
AC022325.1	0	0	0	0	0	0
AC095050.2	0	0	0	0	0	0
AC095050.1	0	0	0	0	0	0
AC131094.1	0	0	0	1	0	0
TSEN2P1	0	0	0	0	0	0
ADAM20P2	0	0	0	0	1	0
GPM6A	3015	4412	7107	13549	12842	15401
AC097537.1	0	2	1	12	5	4
AC110794.1	0	0	1	0	0	0
MARK2P4	0	0	0	0	0	0
WDR17	358	359	498	953	745	743
SPATA4	24	29	49	25	22	25
ASB5	0	0	2	3	11	5
AC019163.1	0	0	0	0	1	0
SPCS3	3894	4468	4491	3779	4529	4030
AC093801.2	0	0	0	0	0	0
AC093801.1	0	0	0	0	0	0
VEGFC	8	8	20	19	11	11
AC092673.1	0	0	0	0	0	0
LINC02509	0	0	0	0	0	0
RN7SKP136	0	0	0	0	0	0
AC097518.1	0	0	0	0	0	0
NEIL3	10	30	33	5	5	8
AC027627.1	0	1	0	0	0	1
